white,elo_white,black,elo_black,result,opening,cadence,date,tournament,city
FRESSINET Laurent,2605,SO Wesley,2747,1 - 0,Petrov Defense,rapid,2020-04-19,Grand Chess Tour Croatia,Zagreb
HOU Yifan,2633,FRESSINET Laurent,2605,1 - 0,Grunfeld Defense,classical,2020-10-09,Tata Steel,Wijk aan Zee
MUZYCHUK Mariya,2505,NIEMANN Hans Moke,2734,X - X,Petrov Defense,classical,2020-07-14,Norway Chess,Stavanger
KOSTENIUK Alexandra,2487,ASSAUBAYEVA Bibisara,2488,X - X,Reti Opening,classical,2020-11-12,Tata Steel,Wijk aan Zee
SAVINA Anastasia,2324,ARONIAN Levon,2739,1 - 0,Larsen Opening,rapid,2020-08-31,Grand Chess Tour Croatia,Zagreb
LAGARDE Maxime,2606,VAISHALI Rameshbabu,2490,0 - 1,Queen's Gambit Accepted,classical,2020-02-28,Candidates,Madrid
MAMEDYAROV Shakhriyar,2738,FIROUZJA Alireza,2763,X - X,Vienna Game,classical,2020-10-18,Candidates,Madrid
SCHIPPKE Manon,2272,JU Wenjun,2563,1 - 0,Scandinavian Defense,rapid,2020-03-20,Grand Chess Tour Croatia,Zagreb
SEBAG Marie,2448,JU Wenjun,2563,X - X,Grunfeld Defense,blitz,2020-09-22,Titled Tuesday,NA
SEBAG Marie,2448,SAVINA Anastasia,2324,X - X,King's Indian Defense,blitz,2020-12-06,Titled Tuesday,NA
WEI Yi,2753,MUZYCHUK Anna,2515,X - X,French Defense,classical,2020-06-21,Tata Steel,Wijk aan Zee
VAISHALI Rameshbabu,2490,ANAND Viswanathan,2750,1 - 0,Queen's Gambit Accepted,classical,2020-01-05,Tata Steel,Wijk aan Zee
NEPOMNIACHTCHI Ian,2755,KRAMNIK Vladimir,2810,0 - 1,Grunfeld Defense,rapid,2020-12-20,Grand Chess Tour Croatia,Zagreb
LAGNO Kateryna,2527,TAN Zhongyi,2551,0 - 1,Dutch Defense,classical,2020-05-02,Tata Steel,Wijk aan Zee
SCHIPPKE Manon,2272,SO Wesley,2747,1 - 0,Catalan Opening,classical,2020-04-29,Sinquefield Cup,Saint Louis
DAULYTE-CORNETTE Deimante,2371,PRAGGNANANDHAA R,2737,X - X,Ruy Lopez,rapid,2020-09-27,World Rapid Championship,Samarkand
SKRIPCHENKO Almira,2361,GORYACHKINA Aleksandra,2528,X - X,Scotch Game,classical,2020-03-27,Tata Steel,Wijk aan Zee
FIROUZJA Alireza,2763,WEI Yi,2753,X - X,French Defense,classical,2020-09-08,Tata Steel,Wijk aan Zee
GIRI Anish,2733,HEJAZIPOUR Mitra,2309,X - X,French Defense,classical,2020-11-22,Sinquefield Cup,Saint Louis
ERIGAISI Arjun,2799,DAULYTE-CORNETTE Deimante,2371,1 - 0,Alekhine Defense,classical,2020-08-13,Tata Steel,Wijk aan Zee
